Item(s),transaction_id,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
1,3070,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3071,whole milk,soft cheese,rum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3072,citrus fruit,butter,dessert,processed cheese,white bread,pickled vegetables,seasonal products,dental care,,,,,,,,,,,,,,,,,,,,,,,,
9,3073,sausage,citrus fruit,whole milk,UHT-milk,specialty cheese,frozen vegetables,tea,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,
1,3074,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3075,UHT-milk,cat food,coffee,bottled beer,white wine,sparkling wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
1,3076,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3077,curd,cat food,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3078,whole milk,processed cheese,mayonnaise,margarine,mustard,cat food,coffee,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
11,3079,frankfurter,pork,tropical fruit,root vegetables,other vegetables,whole milk,curd,butter milk,yogurt,frozen dessert,chewing gum,,,,,,,,,,,,,,,,,,,,,
1,3080,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3081,other vegetables,processed cheese,tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3082,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3083,tropical fruit,other vegetables,butter milk,curd cheese,sugar,fruit/vegetable juice,bottled beer,chocolate,candles,,,,,,,,,,,,,,,,,,,,,,,
6,3084,beef,fish,yogurt,pastry,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3085,whipped/sour cream,domestic eggs,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3086,tropical fruit,pip fruit,other vegetables,butter milk,yogurt,whipped/sour cream,UHT-milk,margarine,sugar,waffles,,,,,,,,,,,,,,,,,,,,,,
2,3087,UHT-milk,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3088,root vegetables,semi-finished bread,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3089,frankfurter,sausage,butter,dessert,spread cheese,white bread,pastry,coffee,waffles,,,,,,,,,,,,,,,,,,,,,,,
12,3090,pip fruit,other vegetables,whole milk,butter milk,yogurt,cream cheese,pasta,fruit/vegetable juice,dental care,hygiene articles,kitchen towels,photo/film,,,,,,,,,,,,,,,,,,,,
3,3091,pip fruit,soft cheese,tidbits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3092,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3093,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3094,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3095,white bread,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3096,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3097,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3098,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3099,dessert,yogurt,brown bread,pastry,soda,long life bakery product,cake bar,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,
3,3100,cereals,specialty chocolate,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3101,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3102,frankfurter,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3103,sausage,other vegetables,cream cheese,domestic eggs,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3104,UHT-milk,cream cheese,spread cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3105,misc. beverages,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3106,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3107,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3108,meat,chicken,berries,yogurt,whipped/sour cream,cream cheese,mayonnaise,brown bread,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,
2,3109,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3110,pork,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3111,tropical fruit,pip fruit,soda,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3112,citrus fruit,pip fruit,root vegetables,other vegetables,butter,UHT-milk,frozen vegetables,pastry,margarine,sugar,soups,soda,bottled beer,long life bakery product,softener,,,,,,,,,,,,,,,,,
3,3113,rolls/buns,soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3114,meat spreads,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3115,brown bread,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3116,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3117,frankfurter,UHT-milk,oil,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3118,pork,citrus fruit,pip fruit,root vegetables,other vegetables,dessert,butter milk,sliced cheese,processed cheese,fruit/vegetable juice,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,
9,3119,yogurt,hard cheese,rolls/buns,sweet spreads,soda,misc. beverages,specialty chocolate,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,
1,3120,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3121,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3122,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3123,citrus fruit,herbs,other vegetables,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3124,citrus fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3125,sausage,domestic eggs,pastry,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3126,decalcifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3127,sausage,ham,meat,butter,UHT-milk,mayonnaise,baking powder,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,
2,3128,beef,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3129,hamburger meat,ketchup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3130,mayonnaise,white bread,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3131,fruit/vegetable juice,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3132,finished products,pip fruit,other vegetables,domestic eggs,margarine,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
8,3133,chicken,other vegetables,bottled beer,canned beer,sparkling wine,chocolate,newspapers,potted plants,,,,,,,,,,,,,,,,,,,,,,,,
4,3134,whole milk,dessert,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3135,ham,root vegetables,other vegetables,dessert,brown bread,pasta,margarine,bottled water,fruit/vegetable juice,red/blush wine,,,,,,,,,,,,,,,,,,,,,,
1,3136,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3137,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3138,dog food,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3139,citrus fruit,tropical fruit,yogurt,UHT-milk,domestic eggs,mustard,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,
6,3140,tropical fruit,dessert,yogurt,domestic eggs,oil,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3141,beef,citrus fruit,root vegetables,bottled water,soda,fruit/vegetable juice,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,
1,3142,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3143,chicken,butter,UHT-milk,spread cheese,bottled beer,salty snack,waffles,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,
4,3144,sausage,rolls/buns,misc. beverages,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3145,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3146,meat,other vegetables,white bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3147,whole milk,rolls/buns,specialty chocolate,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3148,beef,root vegetables,whole milk,butter,yogurt,soda,abrasive cleaner,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
12,3149,ham,meat,berries,other vegetables,whole milk,butter,yogurt,processed cheese,specialty cheese,white bread,margarine,specialty bar,,,,,,,,,,,,,,,,,,,,
5,3150,sausage,meat,other vegetables,frozen vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3151,sausage,brown bread,roll products,coffee,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3152,ham,other vegetables,yogurt,domestic eggs,semi-finished bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3153,pork,other vegetables,rolls/buns,canned fish,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3154,canned beer,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3155,chicken,bottled water,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3156,beef,hamburger meat,tropical fruit,pip fruit,other vegetables,whole milk,butter milk,yogurt,ice cream,rolls/buns,pastry,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,
5,3157,yogurt,condensed milk,pet care,house keeping products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3158,tropical fruit,whole milk,margarine,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3159,chicken,root vegetables,rolls/buns,margarine,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3160,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3161,other vegetables,whole milk,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3162,frozen vegetables,domestic eggs,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3163,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3164,meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3165,meat,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3166,pip fruit,canned beer,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3167,ham,citrus fruit,tropical fruit,pip fruit,herbs,other vegetables,whole milk,yogurt,spread cheese,brown bread,dog food,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,
4,3168,beef,whole milk,margarine,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3169,other vegetables,bottled water,bottled beer,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3170,ham,tropical fruit,beverages,hard cheese,waffles,chocolate,specialty chocolate,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,
5,3171,yogurt,frozen vegetables,napkins,newspapers,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3172,other vegetables,frozen fish,vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3173,whole milk,domestic eggs,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3174,root vegetables,UHT-milk,rolls/buns,brown bread,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3175,frankfurter,liver loaf,pip fruit,whole milk,yogurt,beverages,cream cheese,frozen vegetables,frozen meals,brown bread,pastry,cereals,bottled water,soda,fruit/vegetable juice,kitchen towels,,,,,,,,,,,,,,,,
1,3176,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3177,hamburger meat,pip fruit,root vegetables,other vegetables,whole milk,curd,domestic eggs,salt,vinegar,oil,margarine,spices,coffee,bottled beer,newspapers,,,,,,,,,,,,,,,,,
6,3178,sausage,packaged fruit/vegetables,whole milk,brown bread,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3179,chicken,beef,root vegetables,brown bread,margarine,cat food,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,
1,3180,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3181,pork,root vegetables,sliced cheese,specialty chocolate,specialty bar,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
10,3182,frankfurter,chicken,pork,citrus fruit,root vegetables,whole milk,yogurt,brown bread,instant coffee,seasonal products,,,,,,,,,,,,,,,,,,,,,,
1,3183,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3184,root vegetables,UHT-milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3185,chicken,beef,root vegetables,whole milk,cream cheese,pet care,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
2,3186,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3187,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3188,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3189,sausage,ham,grapes,other vegetables,UHT-milk,frozen meals,frozen potato products,rolls/buns,waffles,chocolate,candy,,,,,,,,,,,,,,,,,,,,,
7,3190,frankfurter,sausage,pork,sliced cheese,pastry,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
1,3191,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3192,other vegetables,whole milk,yogurt,ice cream,flour,margarine,baking powder,pudding powder,,,,,,,,,,,,,,,,,,,,,,,,
1,3193,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3194,frankfurter,pork,citrus fruit,other vegetables,domestic eggs,pastry,ketchup,pickled vegetables,soda,syrup,skin care,newspapers,,,,,,,,,,,,,,,,,,,,
7,3195,sausage,whole milk,UHT-milk,rolls/buns,sugar,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
14,3196,frankfurter,chicken,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,whipped/sour cream,salad dressing,frozen dessert,frozen potato products,pastry,rice,,,,,,,,,,,,,,,,,,
2,3197,whole milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3198,beef,citrus fruit,pip fruit,root vegetables,other vegetables,pastry,flour,canned beer,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,
1,3199,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3200,frankfurter,margarine,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3201,frozen chicken,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3202,pork,whipped/sour cream,ice cream,rolls/buns,bottled water,chocolate,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,,
9,3203,tropical fruit,berries,other vegetables,butter,curd,UHT-milk,hard cheese,domestic eggs,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,
1,3204,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3205,coffee,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3206,meat,other vegetables,whole milk,whipped/sour cream,rolls/buns,margarine,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
4,3207,citrus fruit,soft cheese,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3208,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,curd cheese,frozen vegetables,soups,cat food,chewing gum,,,,,,,,,,,,,,,,,,,,,
4,3209,other vegetables,salty snack,dishes,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3210,beef,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3211,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3212,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3213,tropical fruit,other vegetables,whipped/sour cream,beverages,hard cheese,cream cheese,flour,sweet spreads,soda,long life bakery product,,,,,,,,,,,,,,,,,,,,,,
6,3214,hamburger meat,other vegetables,sauces,soda,salty snack,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3215,sausage,other vegetables,dessert,pastry,waffles,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3216,whole milk,curd,semi-finished bread,baking powder,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3217,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3218,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3219,turkey,other vegetables,whipped/sour cream,canned vegetables,instant coffee,bottled water,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,
9,3220,pip fruit,berries,other vegetables,whole milk,yogurt,domestic eggs,rolls/buns,pastry,margarine,,,,,,,,,,,,,,,,,,,,,,,
14,3221,chicken,hamburger meat,root vegetables,onions,other vegetables,whole milk,butter,curd,butter milk,frozen vegetables,domestic eggs,oil,canned vegetables,popcorn,,,,,,,,,,,,,,,,,,
7,3222,root vegetables,whole milk,yogurt,whipped/sour cream,rolls/buns,baking powder,liqueur,,,,,,,,,,,,,,,,,,,,,,,,,
8,3223,sausage,meat,rolls/buns,canned beer,popcorn,nut snack,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
6,3224,pickled vegetables,canned fish,soda,bottled beer,chewing gum,candles,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3225,frankfurter,sausage,packaged fruit/vegetables,condensed milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3226,meat,frozen meals,roll products,bottled beer,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3227,berries,butter milk,yogurt,pet care,soda,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3228,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3229,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3230,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3231,butter milk,rolls/buns,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3232,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3233,frankfurter,onions,herbs,other vegetables,yogurt,whipped/sour cream,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,
2,3234,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3235,pork,root vegetables,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3236,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3237,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3238,yogurt,beverages,fruit/vegetable juice,detergent,cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3239,pet care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3240,pork,whole milk,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3241,tropical fruit,berries,other vegetables,whole milk,yogurt,whipped/sour cream,frozen vegetables,coffee,bottled water,soda,salty snack,long life bakery product,specialty bar,,,,,,,,,,,,,,,,,,,
8,3242,organic sausage,whole milk,yogurt,soft cheese,cream cheese,fruit/vegetable juice,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
8,3243,ham,other vegetables,whole milk,butter,yogurt,flour,oil,spices,,,,,,,,,,,,,,,,,,,,,,,,
8,3244,sausage,hamburger meat,berries,UHT-milk,cat food,soda,salty snack,napkins,,,,,,,,,,,,,,,,,,,,,,,,
2,3245,whole milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3246,frozen fish,canned beer,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3247,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3248,pork,other vegetables,yogurt,white bread,bottled beer,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
3,3249,UHT-milk,bottled water,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3250,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3251,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3252,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3253,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3254,specialty chocolate,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3255,whole milk,butter,curd,yogurt,whipped/sour cream,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3256,whole milk,yogurt,soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3257,pip fruit,root vegetables,butter,UHT-milk,rolls/buns,coffee,soda,bottled beer,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,
2,3258,frozen meals,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3259,frankfurter,other vegetables,whole milk,spread cheese,sugar,soda,bottled beer,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,
13,3260,pip fruit,onions,other vegetables,whole milk,butter,soft cheese,domestic eggs,white bread,margarine,cocoa drinks,bottled water,fruit/vegetable juice,chocolate,,,,,,,,,,,,,,,,,,,
8,3261,rolls/buns,rice,canned fish,cocoa drinks,bottled beer,red/blush wine,waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
9,3262,sausage,ham,other vegetables,whole milk,curd,cream cheese,processed cheese,frozen potato products,pastry,,,,,,,,,,,,,,,,,,,,,,,
4,3263,pet care,instant coffee,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3264,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3265,other vegetables,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3266,herbs,bottled water,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3267,meat,dessert,UHT-milk,rice,specialty bar,napkins,candles,,,,,,,,,,,,,,,,,,,,,,,,,
9,3268,pip fruit,root vegetables,other vegetables,dessert,domestic eggs,margarine,cereals,soda,candles,,,,,,,,,,,,,,,,,,,,,,,
9,3269,citrus fruit,soft cheese,domestic eggs,pastry,oil,baking powder,pickled vegetables,dog food,coffee,,,,,,,,,,,,,,,,,,,,,,,
18,3270,sausage,meat,chicken,pip fruit,whole milk,dessert,whipped/sour cream,processed cheese,domestic eggs,rolls/buns,white bread,pickled vegetables,soda,fruit/vegetable juice,salty snack,long life bakery product,waffles,potted plants,,,,,,,,,,,,,,
8,3271,frankfurter,whipped/sour cream,condensed milk,rolls/buns,bottled water,soda,bottled beer,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,
1,3272,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3273,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3274,other vegetables,frozen potato products,coffee,salty snack,specialty chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3275,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3276,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3277,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3278,ham,frozen potato products,white bread,pastry,cat food,bottled water,soda,candy,sound storage medium,shopping bags,,,,,,,,,,,,,,,,,,,,,,
4,3279,frankfurter,citrus fruit,canned vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3280,soda,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3281,whole milk,UHT-milk,domestic eggs,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3282,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3283,misc. beverages,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3284,root vegetables,other vegetables,whole milk,specialty bar,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3285,other vegetables,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3286,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3287,bottled beer,chocolate,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3288,whole milk,pastry,flour,salt,vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3289,pip fruit,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3290,male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3291,meat,turkey,citrus fruit,tropical fruit,herbs,other vegetables,frozen meals,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
3,3292,bottled water,soda,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3293,pastry,syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3294,sausage,whole milk,yogurt,sliced cheese,rolls/buns,coffee,soda,canned beer,specialty bar,,,,,,,,,,,,,,,,,,,,,,,
9,3295,pork,pip fruit,other vegetables,butter,rice,margarine,soda,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
1,3296,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3297,other vegetables,pet care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3298,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3299,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3300,pip fruit,whole milk,domestic eggs,margarine,soda,chocolate,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
1,3301,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3302,whole milk,pastry,vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3303,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3304,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3305,tropical fruit,grapes,onions,other vegetables,yogurt,domestic eggs,oil,pudding powder,pickled vegetables,salty snack,waffles,specialty bar,,,,,,,,,,,,,,,,,,,,
2,3306,domestic eggs,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3307,meat,root vegetables,whole milk,yogurt,whipped/sour cream,domestic eggs,seasonal products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
5,3308,meat,whipped/sour cream,coffee,chewing gum,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3309,pork,root vegetables,cream cheese,frozen fish,flour,sugar,decalcifier,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
2,3310,rolls/buns,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3311,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3312,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
